"theme_name","most_used_color"
"12V","Light Gray"
"12V","Black"
"4 Juniors","White"
"4.5V","Black"
"4.5V","Blue"
"9V","Dark Bluish Gray"
"9V","Black"
"Advent","Red"
"Advent Sub-Set","Red"
"Adventurers","Black"
"Agents","Black"
"Agori","Black"
"Airjitzu","Black"
"Airport","White"
"Airport","Red"
"Airport","Black"
"Airport","White"
"Airport","White"
"Airport","White"
"Airport","Red"
"Airport","Black"
"Airport","Red"
"Airport","White"
"Airport","White"
"Alien Conquest","Light Bluish Gray"
"Alpha Team","Black"
"An Unexpected Journey","Reddish Brown"
"Angry Birds","Light Bluish Gray"
"Animals","White"
"Aquanauts","Yellow"
"Aquaraiders I","Black"
"Aquaraiders II","Black"
"Aquasharks","Black"
"Aquazone","Chrome Silver"
"Architecture","White"
"Arctic","Black"
"Arctic","Light Bluish Gray"
"Arctic Technic","Light Gray"
"Atlantis","Black"
"Avatar","Dark Bluish Gray"
"Avengers","Black"
"Barraki","Black"
"Basic","Red"
"Basic Model","Red"
"Basic Model","Black"
"Basic Set","Red"
"Basic Set","Red"
"Basic Set","Red"
"Basic Set","Red"
"Basketball","Red"
"Batman","Black"
"Battle Vehicles","Black"
"Belville","White"
"Belville","Pink"
"Belville","White"
"Ben 10","Dark Blue"
"Bionicle","Green"
"Bionicle","Black"
"Bionicle","Red"
"Bionicle","Blue"
"Black Falcons","Light Gray"
"Black Knights","Black"
"Blacktron I","Black"
"Blacktron II","Black"
"Boat","White"
"Boat","White"
"Bohrok","Black"
"Bohrok-Kal","Light Gray"
"Bohrok Va","Black"
"Books","Black"
"Brickheadz","Black"
"Bricktober","Trans-Clear"
"Building","White"
"Building","Red"
"Building","Blue"
"Building","Yellow"
"Building","White"
"Building","Tan"
"Building Set with People","Red"
"Building Set with People","Red"
"Bulk Bricks","Black"
"Cargo","Black"
"Cargo","Black"
"Cargo","Black"
"Cargo","Black"
"Cargo","Yellow"
"Cars","Black"
"Cars","Black"
"Castle","Light Gray"
"Castle","Dark Gray"
"Castle","Light Bluish Gray"
"Castle","Black"
"Castle","Black"
"Castle","Black"
"Castle","White"
"Chamber of Secrets","Black"
"Christmas","White"
"City","Black"
"City","Black"
"City","White"
"Classic","White"
"Classic","White"
"Classic Basic","White"
"Classic Basic","Red"
"Classic Castle","Yellow"
"Classic Space","Light Gray"
"Classic Town","Red"
"Clikits","Trans-Dark Pink"
"Clikits","Trans-Dark Pink"
"Coast Guard","White"
"Coast Guard","Red"
"Coast Guard","White"
"Coast Guard","Black"
"Coast Guard","White"
"Collectible Minifigures","Yellow"
"Competition","Black"
"Constraction","Black"
"Constraction","Black"
"Construction","Yellow"
"Construction","Black"
"Construction","Yellow"
"Construction","Yellow"
"Construction","White"
"Construction","Red"
"Construction","Yellow"
"Construction","Black"
"Control Lab","Dark Gray"
"Control Lab","Black"
"Cowboys","Black"
"Creator","White"
"Creator","White"
"Creator","White"
"Creator","Red"
"Creator","Black"
"Creature","Black"
"Creature","Black"
"Crusaders","Light Gray"
"Dark Forest","Black"
"Desert","Black"
"Designer Sets","Black"
"DFB Minifigures","White"
"Dimensions","Black"
"Dino","Yellow"
"Dino 2010","Black"
"Dino Attack","Black"
"Dino Island","Light Gray"
"Dinosaurs","Light Gray"
"Discovery","Light Gray"
"Disney","White"
"Disney","Black"
"Disney's Mickey Mouse","Red"
"Disney Princess","White"
"Divers","Black"
"Drome Racers","Black"
"Duplo","Red"
"Easter","Yellow"
"Educational and Dacta","Yellow"
"eLAB","Black"
"Elves","Black"
"EV3","Black"
"Exo-Force","Black"
"Expert Builder","Light Gray"
"Exploriens","White"
"Extreme Team","Black"
"Fabuland","Yellow"
"Factory","Black"
"Fairy-Tale","White"
"Fantasy Era","Light Bluish Gray"
"Farm","Blue"
"Farm","Black"
"Farm","Red"
"Farm","Black"
"Ferrari","Red"
"Ferries","White"
"Fire","Red"
"Fire","Red"
"Fire","Red"
"Fire","Red"
"Fire","Red"
"Fire","Red"
"Fire","White"
"Fire","Red"
"Fire","Black"
"Fire","Black"
"Fire","Red"
"FIRST LEGO League","Black"
"Food & Drink","Red"
